year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,fire_on_peatlands_hectares
"2015","INDONESIA","ID","LABUHAN BATU SELATAN","ID-1222","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","LABUHAN BATU UTARA","ID-1223","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","LAHAT","ID-1604","SUMATERA SELATAN","ID-16","0"
"2015","INDONESIA","ID","LAMANDAU","ID-6207","KALIMANTAN TENGAH","ID-62","427.695882352941"
"2015","INDONESIA","ID","LAMONGAN","ID-3524","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","LAMPUNG BARAT","ID-1801","LAMPUNG","ID-18","0"
"2015","INDONESIA","ID","LAMPUNG SELATAN","ID-1803","LAMPUNG","ID-18","0"
"2015","INDONESIA","ID","LAMPUNG TENGAH","ID-1805","LAMPUNG","ID-18","0"
"2015","INDONESIA","ID","LAMPUNG TIMUR","ID-1804","LAMPUNG","ID-18","0"
"2015","INDONESIA","ID","LAMPUNG UTARA","ID-1806","LAMPUNG","ID-18","0"
"2015","INDONESIA","ID","LANDAK","ID-6103","KALIMANTAN BARAT","ID-61","93.0702352941185"
"2015","INDONESIA","ID","LANGKAT","ID-1213","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","LANGSA (KOTA)","ID-1173","ACEH","ID-11","0"
"2015","INDONESIA","ID","LANNY JAYA","ID-9430","PAPUA","ID-94","0"
"2015","INDONESIA","ID","LEBAK","ID-3602","BANTEN","ID-36","0"
"2015","INDONESIA","ID","LEBONG","ID-1707","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","LEMBATA","ID-5308","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","LHOKSEUMAWE (KOTA)","ID-1174","ACEH","ID-11","0"
"2015","INDONESIA","ID","LIMAPULUHKOTA","ID-1308","SUMATERA BARAT","ID-13","0"
"2015","INDONESIA","ID","LINGGA","ID-2104","KEP. RIAU","ID-21","0"
"2015","INDONESIA","ID","LOMBOK BARAT","ID-5201","NUSA TENGGARA BARAT","ID-52","0"
"2015","INDONESIA","ID","LOMBOK TENGAH","ID-5202","NUSA TENGGARA BARAT","ID-52","0"
