year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,burned_areas_hectares
"2015","INDONESIA","ID","KARANGANYAR","ID-3313","JAWA TENGAH","ID-33","1548.10376470588"
"2015","INDONESIA","ID","KARANGASEM","ID-5107","BALI","ID-51","0"
"2015","INDONESIA","ID","KARAWANG","ID-3215","JAWA BARAT","ID-32","38.9611764705884"
"2015","INDONESIA","ID","KARIMUN","ID-2101","KEP. RIAU","ID-21","0"
"2015","INDONESIA","ID","KARO","ID-1211","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","KATINGAN","ID-6209","KALIMANTAN TENGAH","ID-62","106426.053176593"
"2015","INDONESIA","ID","KAUR","ID-1704","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","KAYONG UTARA","ID-6111","KALIMANTAN BARAT","ID-61","13374.5209411752"
"2015","INDONESIA","ID","KEBUMEN","ID-3305","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","KEDIRI","ID-3506","JAWA TIMUR","ID-35","194.563764705886"
"2015","INDONESIA","ID","KEEROM","ID-9420","PAPUA","ID-94","0"
"2015","INDONESIA","ID","KENDAL","ID-3324","JAWA TENGAH","ID-33","26.55"
"2015","INDONESIA","ID","KENDARI (KOTA)","ID-7471","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","KEPAHIANG","ID-1708","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","KEPULAUAN ANAMBAS","ID-2105","KEP. RIAU","ID-21","0"
"2015","INDONESIA","ID","KEPULAUAN ARU","ID-8105","MALUKU","ID-81","0"
"2015","INDONESIA","ID","KEPULAUAN MENTAWAI","ID-1301","SUMATERA BARAT","ID-13","0"
"2015","INDONESIA","ID","KEPULAUAN MERANTI","ID-1410","RIAU","ID-14","4332.83505882302"
"2015","INDONESIA","ID","KEPULAUAN SANGIHE","ID-7103","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","KEPULAUAN SELAYAR","ID-7301","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","KEPULAUAN SERIBU","ID-3101","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","KEPULAUAN SIAU TAGULANDANG BIARO","ID-7108","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","KEPULAUAN SULA","ID-8203","MALUKU UTARA","ID-82","0"
"2015","INDONESIA","ID","KEPULAUAN TIDORE (KOTA)","ID-8272","MALUKU UTARA","ID-82","0"
"2015","INDONESIA","ID","KEPULAUAN YAPEN","ID-9408","PAPUA","ID-94","0"
"2015","INDONESIA","ID","KERINCI","ID-1501","JAMBI","ID-15","0.284823529411765"
"2015","INDONESIA","ID","KETAPANG","ID-6106","KALIMANTAN BARAT","ID-61","76631.1370588521"
"2015","INDONESIA","ID","KLATEN","ID-3310","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","KLUNGKUNG","ID-5105","BALI","ID-51","0"
"2015","INDONESIA","ID","KOLAKA","ID-7404","SULAWESI TENGGARA","ID-74","8584.56388235119"
"2015","INDONESIA","ID","KOLAKA TIMUR","ID-7411","SULAWESI TENGGARA","ID-74","13.86"
"2015","INDONESIA","ID","KOLAKA UTARA","ID-7408","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","KONAWE","ID-7403","SULAWESI TENGGARA","ID-74","4520.06964705873"
"2015","INDONESIA","ID","KONAWE KEPULAUAN","ID-7412","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","KONAWE SELATAN","ID-7405","SULAWESI TENGGARA","ID-74","14651.085176483"
"2015","INDONESIA","ID","KONAWE UTARA","ID-7410","SULAWESI TENGGARA","ID-74","688.558941176447"
"2015","INDONESIA","ID","KOTABARU","ID-6302","KALIMANTAN SELATAN","ID-63","22219.6267058814"
"2015","INDONESIA","ID","KOTAMOBAGU (KOTA)","ID-7174","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","KOTAWARINGIN BARAT","ID-6201","KALIMANTAN TENGAH","ID-62","73016.9477647412"
"2015","INDONESIA","ID","KOTAWARINGIN TIMUR","ID-6202","KALIMANTAN TENGAH","ID-62","98868.0204706318"
"2015","INDONESIA","ID","KUANTAN SINGINGI","ID-1401","RIAU","ID-14","32932.3800000229"
"2015","INDONESIA","ID","KUBU RAYA","ID-6112","KALIMANTAN BARAT","ID-61","7558.6503529408"
"2015","INDONESIA","ID","KUDUS","ID-3319","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","KULON PROGO","ID-3401","D I YOGYAKARTA","ID-34","0"
"2015","INDONESIA","ID","KUNINGAN","ID-3208","JAWA BARAT","ID-32","855.661058823543"
"2015","INDONESIA","ID","KUPANG","ID-5303","NUSA TENGGARA TIMUR","ID-53","1673.81999999991"
"2015","INDONESIA","ID","KUPANG (KOTA)","ID-5371","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","KUTAI BARAT","ID-6402","KALIMANTAN TIMUR","ID-64","11048.5524705871"
"2015","INDONESIA","ID","KUTAI KARTANEGARA","ID-6403","KALIMANTAN TIMUR","ID-64","4791.55058823537"
"2015","INDONESIA","ID","KUTAI TIMUR","ID-6404","KALIMANTAN TIMUR","ID-64","5228.47023529347"
"2015","INDONESIA","ID","LABUHAN BATU","ID-1207","SUMATERA UTARA","ID-12","1649.93752941183"
"2015","INDONESIA","ID","LABUHAN BATU SELATAN","ID-1222","SUMATERA UTARA","ID-12","2231.8895294111"
"2015","INDONESIA","ID","LABUHAN BATU UTARA","ID-1223","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","LAHAT","ID-1604","SUMATERA SELATAN","ID-16","10364.4229411857"
"2015","INDONESIA","ID","LAMANDAU","ID-6207","KALIMANTAN TENGAH","ID-62","4687.90305882344"
"2015","INDONESIA","ID","LAMONGAN","ID-3524","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","LAMPUNG BARAT","ID-1801","LAMPUNG","ID-18","0"
"2015","INDONESIA","ID","LAMPUNG SELATAN","ID-1803","LAMPUNG","ID-18","0"
"2015","INDONESIA","ID","LAMPUNG TENGAH","ID-1805","LAMPUNG","ID-18","1116.03070588227"
