year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
"2001","INDONESIA","ID","HALMAHERA UTARA","ID-8205","MALUKU UTARA","ID-82","38089.0090588568"
"2001","INDONESIA","ID","HULU SUNGAI SELATAN","ID-6306","KALIMANTAN SELATAN","ID-63","2357.86129411718"
"2001","INDONESIA","ID","HULU SUNGAI TENGAH","ID-6307","KALIMANTAN SELATAN","ID-63","10143.9674117701"
"2001","INDONESIA","ID","HULU SUNGAI UTARA","ID-6308","KALIMANTAN SELATAN","ID-63","388.001294117658"
"2001","INDONESIA","ID","HUMBANG HASUNDUTAN","ID-1215","SUMATERA UTARA","ID-12","72007.1389412534"
"2001","INDONESIA","ID","INDRAGIRI HILIR","ID-1403","RIAU","ID-14","462796.297058178"
"2001","INDONESIA","ID","INDRAGIRI HULU","ID-1402","RIAU","ID-14","916713.903881422"
"2001","INDONESIA","ID","INDRAMAYU","ID-3212","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","INTAN JAYA","ID-9435","PAPUA","ID-94","125218.715293207"
"2001","INDONESIA","ID","JAKARTA BARAT (KOTA)","ID-3174","DKI JAKARTA","ID-31","7.98282352941176"
"2001","INDONESIA","ID","JAKARTA PUSAT (KOTA)","ID-3173","DKI JAKARTA","ID-31","0"
"2001","INDONESIA","ID","JAKARTA SELATAN (KOTA)","ID-3171","DKI JAKARTA","ID-31","1.98"
"2001","INDONESIA","ID","JAKARTA TIMUR (KOTA)","ID-3172","DKI JAKARTA","ID-31","0"
"2001","INDONESIA","ID","JAKARTA UTARA (KOTA)","ID-3175","DKI JAKARTA","ID-31","0"
"2001","INDONESIA","ID","JAMBI (KOTA)","ID-1571","JAMBI","ID-15","0"
"2001","INDONESIA","ID","JAYAPURA","ID-9403","PAPUA","ID-94","2935660.44421058"
"2001","INDONESIA","ID","JAYAPURA (KOTA)","ID-9471","PAPUA","ID-94","7826.96435294897"
"2001","INDONESIA","ID","JAYAWIJAYA","ID-9402","PAPUA","ID-94","582927.747529228"
"2001","INDONESIA","ID","JEMBER","ID-3509","JAWA TIMUR","ID-35","125320.767882465"
"2001","INDONESIA","ID","JEMBRANA","ID-5101","BALI","ID-51","51817.1325882711"
"2001","INDONESIA","ID","JENEPONTO","ID-7304","SULAWESI SELATAN","ID-73","2031.73270588198"
"2001","INDONESIA","ID","JEPARA","ID-3320","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","JOMBANG","ID-3517","JAWA TIMUR","ID-35","15.48"
"2001","INDONESIA","ID","KAIMANA","ID-9102","PAPUA BARAT","ID-91","2360265.32926989"
"2001","INDONESIA","ID","KAMPAR","ID-1406","RIAU","ID-14","77152.3538823904"
"2001","INDONESIA","ID","KAPUAS","ID-6203","KALIMANTAN TENGAH","ID-62","1921611.30246363"
"2001","INDONESIA","ID","KAPUAS HULU","ID-6108","KALIMANTAN BARAT","ID-61","2314189.58326913"
"2001","INDONESIA","ID","KARANGANYAR","ID-3313","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","KARANGASEM","ID-5107","BALI","ID-51","315.511411764712"
"2001","INDONESIA","ID","KARAWANG","ID-3215","JAWA BARAT","ID-32","32.13"
"2001","INDONESIA","ID","KARIMUN","ID-2101","KEP. RIAU","ID-21","22527.1125882473"
"2001","INDONESIA","ID","KARO","ID-1211","SUMATERA UTARA","ID-12","59559.9271765159"
"2001","INDONESIA","ID","KATINGAN","ID-6209","KALIMANTAN TENGAH","ID-62","626548.167527195"
"2001","INDONESIA","ID","KAUR","ID-1704","BENGKULU","ID-17","2681.00082352891"
"2001","INDONESIA","ID","KAYONG UTARA","ID-6111","KALIMANTAN BARAT","ID-61","177740.47482359"
"2001","INDONESIA","ID","KEBUMEN","ID-3305","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","KEDIRI","ID-3506","JAWA TIMUR","ID-35","1784.48082352904"
"2001","INDONESIA","ID","KEEROM","ID-9420","PAPUA","ID-94","243088.237057329"
"2001","INDONESIA","ID","KENDAL","ID-3324","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","KENDARI (KOTA)","ID-7471","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","KEPAHIANG","ID-1708","BENGKULU","ID-17","702.758117647078"
"2001","INDONESIA","ID","KEPULAUAN ANAMBAS","ID-2105","KEP. RIAU","ID-21","0"
"2001","INDONESIA","ID","KEPULAUAN ARU","ID-8105","MALUKU","ID-81","666486.740467328"
"2001","INDONESIA","ID","KEPULAUAN MENTAWAI","ID-1301","SUMATERA BARAT","ID-13","504343.712117085"
"2001","INDONESIA","ID","KEPULAUAN MERANTI","ID-1410","RIAU","ID-14","208205.913529647"
"2001","INDONESIA","ID","KEPULAUAN SANGIHE","ID-7103","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","KEPULAUAN SELAYAR","ID-7301","SULAWESI SELATAN","ID-73","297.719999999997"
"2001","INDONESIA","ID","KEPULAUAN SERIBU","ID-3101","DKI JAKARTA","ID-31","38.4328235294117"
"2001","INDONESIA","ID","KEPULAUAN SIAU TAGULANDANG BIARO","ID-7108","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","KEPULAUAN SULA","ID-8203","MALUKU UTARA","ID-82","95188.3771765562"
"2001","INDONESIA","ID","KEPULAUAN TIDORE (KOTA)","ID-8272","MALUKU UTARA","ID-82","1368.28588235291"
"2001","INDONESIA","ID","KEPULAUAN YAPEN","ID-9408","PAPUA","ID-94","224785.300588474"
"2001","INDONESIA","ID","KERINCI","ID-1501","JAMBI","ID-15","308287.453764762"
"2001","INDONESIA","ID","KETAPANG","ID-6106","KALIMANTAN BARAT","ID-61","2033620.45340082"
"2001","INDONESIA","ID","KLATEN","ID-3310","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","KLUNGKUNG","ID-5105","BALI","ID-51","817.064470588233"
"2001","INDONESIA","ID","KOLAKA","ID-7404","SULAWESI TENGGARA","ID-74","269779.017176718"
"2001","INDONESIA","ID","KOLAKA TIMUR","ID-7411","SULAWESI TENGGARA","ID-74","2539.52188235252"
"2001","INDONESIA","ID","KOLAKA UTARA","ID-7408","SULAWESI TENGGARA","ID-74","89323.942588311"
"2001","INDONESIA","ID","KONAWE","ID-7403","SULAWESI TENGGARA","ID-74","712653.566468351"
"2001","INDONESIA","ID","KONAWE KEPULAUAN","ID-7412","SULAWESI TENGGARA","ID-74","40384.4167059092"
"2001","INDONESIA","ID","KONAWE SELATAN","ID-7405","SULAWESI TENGGARA","ID-74","142894.980353041"
"2001","INDONESIA","ID","KONAWE UTARA","ID-7410","SULAWESI TENGGARA","ID-74","60986.7420000688"
"2001","INDONESIA","ID","KOTABARU","ID-6302","KALIMANTAN SELATAN","ID-63","547235.071764734"
"2001","INDONESIA","ID","KOTAMOBAGU (KOTA)","ID-7174","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","KOTAWARINGIN BARAT","ID-6201","KALIMANTAN TENGAH","ID-62","554187.715763905"
"2001","INDONESIA","ID","KOTAWARINGIN TIMUR","ID-6202","KALIMANTAN TENGAH","ID-62","1103281.97999503"
"2001","INDONESIA","ID","KUANTAN SINGINGI","ID-1401","RIAU","ID-14","321420.725647198"
"2001","INDONESIA","ID","KUBU RAYA","ID-6112","KALIMANTAN BARAT","ID-61","250942.719529364"
"2001","INDONESIA","ID","KUDUS","ID-3319","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","KULON PROGO","ID-3401","D I YOGYAKARTA","ID-34","0"
"2001","INDONESIA","ID","KUNINGAN","ID-3208","JAWA BARAT","ID-32","15031.3457647106"
"2001","INDONESIA","ID","KUPANG","ID-5303","NUSA TENGGARA TIMUR","ID-53","2.52"
"2001","INDONESIA","ID","KUPANG (KOTA)","ID-5371","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","KUTAI BARAT","ID-6402","KALIMANTAN TIMUR","ID-64","227338.274470763"
"2001","INDONESIA","ID","KUTAI KARTANEGARA","ID-6403","KALIMANTAN TIMUR","ID-64","2373089.63325486"
"2001","INDONESIA","ID","KUTAI TIMUR","ID-6404","KALIMANTAN TIMUR","ID-64","1532921.87680937"
"2001","INDONESIA","ID","LABUHAN BATU","ID-1207","SUMATERA UTARA","ID-12","71563.4145882971"
"2001","INDONESIA","ID","LABUHAN BATU SELATAN","ID-1222","SUMATERA UTARA","ID-12","5382.99847058934"
"2001","INDONESIA","ID","LABUHAN BATU UTARA","ID-1223","SUMATERA UTARA","ID-12","867.188470588194"
"2001","INDONESIA","ID","LAHAT","ID-1604","SUMATERA SELATAN","ID-16","137870.155058947"
"2001","INDONESIA","ID","LAMANDAU","ID-6207","KALIMANTAN TENGAH","ID-62","162516.425646461"
"2001","INDONESIA","ID","LAMONGAN","ID-3524","JAWA TIMUR","ID-35","8.54929411764707"
"2001","INDONESIA","ID","LAMPUNG BARAT","ID-1801","LAMPUNG","ID-18","109342.642941271"
"2001","INDONESIA","ID","LAMPUNG SELATAN","ID-1803","LAMPUNG","ID-18","9983.61494117771"
"2001","INDONESIA","ID","LAMPUNG TENGAH","ID-1805","LAMPUNG","ID-18","1308.56964705894"
"2001","INDONESIA","ID","LAMPUNG TIMUR","ID-1804","LAMPUNG","ID-18","42194.680941206"
"2001","INDONESIA","ID","LAMPUNG UTARA","ID-1806","LAMPUNG","ID-18","126.876000000002"
"2001","INDONESIA","ID","LANDAK","ID-6103","KALIMANTAN BARAT","ID-61","175249.772470684"
"2001","INDONESIA","ID","LANGKAT","ID-1213","SUMATERA UTARA","ID-12","1980.87952941177"
"2001","INDONESIA","ID","LANGSA (KOTA)","ID-1173","ACEH","ID-11","0"
"2001","INDONESIA","ID","LANNY JAYA","ID-9430","PAPUA","ID-94","48754.9482353002"
"2001","INDONESIA","ID","LEBAK","ID-3602","BANTEN","ID-36","5945.2627058815"
"2001","INDONESIA","ID","LEBONG","ID-1707","BENGKULU","ID-17","5543.21823529338"
"2001","INDONESIA","ID","LEMBATA","ID-5308","NUSA TENGGARA TIMUR","ID-53","417.947999999964"
"2001","INDONESIA","ID","LHOKSEUMAWE (KOTA)","ID-1174","ACEH","ID-11","0"
"2001","INDONESIA","ID","LIMAPULUHKOTA","ID-1308","SUMATERA BARAT","ID-13","293991.189176733"
"2001","INDONESIA","ID","LINGGA","ID-2104","KEP. RIAU","ID-21","149987.013882481"
"2001","INDONESIA","ID","LOMBOK BARAT","ID-5201","NUSA TENGGARA BARAT","ID-52","33000.6892941348"
"2001","INDONESIA","ID","LOMBOK TENGAH","ID-5202","NUSA TENGGARA BARAT","ID-52","12502.2352941246"
"2001","INDONESIA","ID","LOMBOK TIMUR","ID-5203","NUSA TENGGARA BARAT","ID-52","27273.1051764776"
"2001","INDONESIA","ID","LUBUK LINGGAU (KOTA)","ID-1674","SUMATERA SELATAN","ID-16","0"
"2001","INDONESIA","ID","LUMAJANG","ID-3508","JAWA TIMUR","ID-35","5408.29552941131"
